13,Fabrication de textiles,Fabrication de textiles,Fabrication de textiles
13.1,Préparation de fibres textiles et filature,Préparation de fibres textiles et filature,Prépa. de fibres textiles et filature
13.10,Préparation de fibres textiles et filature,Préparation de fibres textiles et filature,Prépa. de fibres textiles et filature
13.10Z,Préparation de fibres textiles et filature,Préparation de fibres textiles et filature,Prépa. de fibres textiles et filature
13.2,Tissage,Tissage,Tissage
13.20,Tissage,Tissage,Tissage
13.20Z,Tissage,Tissage,Tissage
13.3,Ennoblissement textile,Ennoblissement textile,Ennoblissement textile
13.30,Ennoblissement textile,Ennoblissement textile,Ennoblissement textile
13.30Z,Ennoblissement textile,Ennoblissement textile,Ennoblissement textile
13.9,Fabrication d'autres textiles,Fabrication d'autres textiles,Fabrication d'autres textiles
13.91,Fabrication d'étoffes à mailles,Fabrication d'étoffes à mailles,Fabrication d'étoffes à mailles
13.91Z,Fabrication d'étoffes à mailles,Fabrication d'étoffes à mailles,Fabrication d'étoffes à mailles
13.92,"Fabrication d'articles textiles, sauf habillement","Fabrication d'articles textiles, sauf habillement","Fab. d'article textile, sauf habillement"
13.92Z,"Fabrication d'articles textiles, sauf habillement","Fabrication d'articles textiles, sauf habillement","Fab. d'article textile, sauf habillement"
13.93,Fabrication de tapis et moquettes,Fabrication de tapis et moquettes,Fabrication de tapis et moquettes
13.93Z,Fabrication de tapis et moquettes,Fabrication de tapis et moquettes,Fabrication de tapis et moquettes
13.94,"Fabrication de ficelles, cordes et filets","Fabrication de ficelles, cordes et filets","Fabric. de ficelles, cordes et filets"
13.94Z,"Fabrication de ficelles, cordes et filets","Fabrication de ficelles, cordes et filets","Fabric. de ficelles, cordes et filets"
13.95,"Fabrication de non-tissés, sauf habillement","Fabrication de non-tissés, sauf habillement","Fabric. de non-tissés, sauf habillement"
13.95Z,"Fabrication de non-tissés, sauf habillement","Fabrication de non-tissés, sauf habillement","Fabric. de non-tissés, sauf habillement"
13.96,Fabrication d'autres textiles techniques et industriels,Fabrication d'autres textiles techniques et industriels,Fab. autre textile techniq. & industriel
13.96Z,Fabrication d'autres textiles techniques et industriels,Fabrication d'autres textiles techniques et industriels,Fab. autre textile techniq. & industriel
13.99,Fabrication d'autres textiles n.c.a.,Fabrication d'autres textiles n.c.a.,Fabrication d'autres textiles n.c.a.
13.99Z,Fabrication d'autres textiles n.c.a.,Fabrication d'autres textiles n.c.a.,Fabrication d'autres textiles n.c.a.
14,Industrie de l'habillement,Industrie de l'habillement,Industrie de l'habillement
14.1,"Fabrication de vêtements, autres qu'en fourrure","Fabrication de vêtements, autres qu'en fourrure","Fab. de vêtements, autres qu'en fourrure"
14.11,Fabrication de vêtements en cuir,Fabrication de vêtements en cuir,Fabrication de vêtements en cuir
14.11Z,Fabrication de vêtements en cuir,Fabrication de vêtements en cuir,Fabrication de vêtements en cuir
14.12,Fabrication de vêtements de travail,Fabrication de vêtements de travail,Fabrication de vêtements de travail
14.12Z,Fabrication de vêtements de travail,Fabrication de vêtements de travail,Fabrication de vêtements de travail
14.13,Fabrication de vêtements de dessus,Fabrication de vêtements de dessus,Fabrication de vêtements de dessus
14.13Z,Fabrication de vêtements de dessus,Fabrication de vêtements de dessus,Fabrication de vêtements de dessus
14.14,Fabrication de vêtements de dessous,Fabrication de vêtements de dessous,Fabrication de vêtements de dessous
14.14Z,Fabrication de vêtements de dessous,Fabrication de vêtements de dessous,Fabrication de vêtements de dessous
14.19,Fabrication d'autres vêtements et accessoires,Fabrication d'autres vêtements et accessoires,Fabric. autres vêtements et accessoires
14.19Z,Fabrication d'autres vêtements et accessoires,Fabrication d'autres vêtements et accessoires,Fabric. autres vêtements et accessoires
14.2,Fabrication d'articles en fourrure,Fabrication d'articles en fourrure,Fabrication d'articles en fourrure
14.20,Fabrication d'articles en fourrure,Fabrication d'articles en fourrure,Fabrication d'articles en fourrure
14.20Z,Fabrication d'articles en fourrure,Fabrication d'articles en fourrure,Fabrication d'articles en fourrure
